"id","name","city","image_url","address","latitude","longitude"
20,"Barrel Theory Beer Company","Saint Paul","/stock-photo3.jpg","248 7th St E",44.950928,-93.08819
21,"Bauhaus Brew Labs","Minneapolis","/stock-photo7.jpg","1315 Tyler St NE",45.000908,-93.24472
22,"Beaver Island Brewing Company","Saint Cloud","/stock-photo4.jpg","216 6th Ave S",45.558426,-94.15692
29,"Big Woods Brewery","White Bear Lake","/stock-photo10.jpg","2222 4th Street",45.085308,-93.00679
41,"Broken Clock Brewing Cooperative","Minneapolis","/stock-photo2.jpg","3134 California St NE Ste 122",45.025448,-93.26932
52,"Day Block Brewing Company","Minneapolis","/stock-photo10.jpg","1105 Washington Ave S",44.97504,-93.253105
61,"Fair State Brewing Cooperative - St. Paul","Saint Paul","/stock-photo12.jpg","2075 Ellis Ave",44.96621,-93.186485
117,"Maple Island Brewing","Stillwater","/stock-photo7.jpg","225 Main St N",45.058132,-92.80643
118,"Minneapolis Town Hall Brewery","Minneapolis","/stock-photo9.jpg","1430 Washington Ave S",44.97333,-93.24779
132,"Reads Landing Brewing Co","Reads Landing","/stock-photo9.jpg","70555 202nd Ave",44.402752,-92.07881
139,"Saint Croix Beer Co. DBA Saint Croix Brewing Co.","Saint Paul","/stock-photo11.jpg","363 Webster St",44.930412,-93.124565
152,"Talking Waters Brewing Co.","Montevideo","/stock-photo10.jpg","205 S 1st St",44.94417,-95.724205
157,"Three Twenty Brewing Co.","Pine City","/stock-photo2.jpg","135 5th St SE",45.82816,-92.96991
158,"Tin Whiskers Brewing","Saint Paul","/stock-photo6.jpg","125 9th St E Unit 127",44.95144,-93.093956
159,"Torg Brewery","Spring Lake Park","/stock-photo8.jpg","8421 University Ave NE",45.12089,-93.262634
162,"Union 32 Crafthouse","Eagan","/stock-photo13.jpg","2864 Highway 55 Ste 200",44.853874,-93.130745
169,"Venn Brewing Company","Minneapolis","/stock-photo1.jpg","3550 E 46th St Suite 140",44.92004,-93.21984
170,"Vine Park Brewing Co","Saint Paul","/stock-photo8.jpg","1254 7th St W",44.922237,-93.13433
172,"Wabasha Brewing Company","Saint Paul","/stock-photo9.jpg","429 Wabasha St S",44.932957,-93.08478
173,"Waconia Brewing Company","Waconia","/stock-photo6.jpg","255 W Main St",44.850037,-93.790306
176,"Wayzata Brew Works, LLC","wayzata","/stock-photo12.jpg","294 Grove Lane E, ste 150",44.96951,-93.51784
171,"Voyageur Brewing Co","Grand Marais","/stock-photo10.jpg","233 W Hwy 61",47.75009,-90.33662
175,"Ward House Brewery","Waseca","/stock-photo1.jpg","111 Elm Ave W",44.0775,-93.508064
177,"Wayzata Brew Works, LLC.","Wayzata","/stock-photo8.jpg","294 Grove Ln E",44.96951,-93.51784
174,"Waldmann Brewery & Wurstery","Saint Paul","/stock-photo8.jpg","445 Smith Ave N",44.938313,-93.10959
